visits_A,visits_B,A_won
8668,0,1
1525806,168228,1
0,0,0
1189591,1103547,1
646449,646449,0
3138694,2566472,1
0,0,1
0,0,0
0,0,1
755050,489786,1
0,378715,1
31597,0,0
0,645966,0
507442,823574,0
663438,510812,0
580244,318416,1
0,0,1
836782,836782,1
167236,160397,0
10403,0,0
628403,756197,1
10683866,8405837,0
792862,279639,1
2003659,2105167,1
19197,0,0
475052,2031295,0
0,634464,1
1257676,0,1
0,0,1
77989,457,1
963847,1123854,0
0,0,1
40590,0,1
0,0,0
1276556,1143924,0
0,0,0
2291400,2697457,0
0,0,1
0,0,0
843393,927797,0
478662,207510,0
0,0,1
0,0,0
0,0,0
1022457,1130575,0
118969,0,0
886309,1064821,1
0,0,1
270811,1128453,0
30754,214248,0
0,0,0
606895,576037,0
0,0,0
399981,1795891,0
2373774,2141003,0
0,0,0
1973537,2086809,0
3297,0,1
0,0,1
554103,1369697,0
0,0,1
244517,755465,0
0,0,0
0,0,0
0,0,1
1118655,1232506,1
0,0,1
1788063,2525022,1
0,0,0
2718782,0,1
0,0,0
568301,566062,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,467007,0
0,0,0
1101176,1107593,1
291962,255043,1
0,0,1
0,0,1
0,0,1
0,87236,0
2200173,2467922,1
0,0,1
0,40500,1
0,0,0
0,0,0
1030290,1383795,1
0,0,0
947287,60697,1
0,0,0
168228,1553158,0
0,0,1
108249,1445472,1
0,0,1
1769841,2754443,0
0,0,0
1726,2718782,1
0,0,0
335939,291979,0
0,0,0
0,41317,1
0,0,1
811062,1205052,0
0,400070,1
0,0,0
0,0,0
830365,1107593,1
125297,187876,1
0,0,1
0,556495,1
0,8097282,1
1997087,2019440,0
2018713,2060072,0
0,0,1
1958625,1793053,0
0,0,0
0,0,0
0,619669,1
0,0,0
0,243340,0
0,0,0
1681595,2119456,1
0,0,1
0,0,1
0,0,1
1357578,2055380,0
448275,575535,1
0,0,1
0,0,0
207510,265763,0
0,0,0
0,2970,1
0,0,1
1188637,463879,1
391203,212721,1
0,0,0
0,434353,0
603488,931519,1
0,27856,1
0,0,1
0,0,1
0,0,1
1038337,1567503,0
991433,33368,0
0,0,1
2209190,1779110,1
0,0,0
0,0,0
0,182020,1
0,0,0
780733,349362,1