state,electoral_votes,obama_2012,romney_2012,winner_2012
Alabama,9,0,9,Romney
Alaska,3,0,3,Romney
Arizona,11,0,11,Romney
Arkansas,6,0,6,Romney
California,55,55,0,Obama
Colorado,9,9,0,Obama
Connecticut,7,7,0,Obama
Delaware,3,3,0,Obama
District of Columbia,3,3,0,Obama
Florida,29,29,0,Obama
Georgia,16,0,16,Romney
Hawaii,4,4,0,Obama
Idaho,4,0,4,Romney
Illinois,20,20,0,Obama
Indiana,11,0,11,Romney
Iowa,6,6,0,Obama
Kansas,6,0,6,Romney
Kentucky,8,0,8,Romney
Louisiana,8,0,8,Romney
Maine,4,4,0,Obama
Maryland,10,10,0,Obama
Massachusetts,11,11,0,Obama
Michigan,16,16,0,Obama
Minnesota,10,10,0,Obama
Mississippi,6,0,6,Romney
Missouri,10,0,10,Romney
Montana,3,0,3,Romney
Nebraska,5,0,5,Romney
Nevada,6,6,0,Obama
New Hampshire,4,4,0,Obama
New Jersey,14,14,0,Obama
New Mexico,5,5,0,Obama
New York,29,29,0,Obama
North Carolina,15,0,15,Romney
North Dakota,3,0,3,Romney
Ohio,18,18,0,Obama
Oklahoma,7,0,7,Romney
Oregon,7,7,0,Obama
Pennsylvania,20,20,0,Obama
Rhode Island,4,4,0,Obama
South Carolina,9,0,9,Romney
South Dakota,3,0,3,Romney
Tennessee,11,0,11,Romney
Texas,38,0,38,Romney
Utah,6,0,6,Romney
Vermont,3,3,0,Obama
Virginia,13,13,0,Obama
Washington,12,12,0,Obama
West Virginia,5,0,5,Romney
Wisconsin,10,10,0,Obama
Wyoming,3,0,3,Romney
Total,538,332,206,Obama
